"date","agenda","speechnumber","speaker","party","party.facts.id","chair","terms","text","parliament","iso3country","year"
"2010-01-06","Immigration Control",330,"Philip Hollobone","Con",1567,FALSE,342,"I thank Mr. Speaker for giving me permission to hold this debate today. I welcome the Minister-I very much appreciate the contact from his office prior to today-and the Conservative and Liberal Democrat Front Benchers to the debate. I also welcome my hon. Friends on the Back Benches. Immigration is the most important issue for my constituents. I get more complaints, comments and suggestions about immigration than about anything else. In the Kettering constituency, the number of immigrants is actually very low. There is a well-settled Sikh community in the middle of Kettering town itself, which has been in Kettering for some 40 or 50 years and is very much part of the local community and of the fabric of local life. There are other very small migrant groups in my constituency, but it is predominantly made up of indigenous British people. However, there is huge concern among my constituents about the level of immigration into our country. I believe that I am right in saying that, in recent years, net immigration into the United Kingdom is the largest wave of immigration that our country has ever known and, proportionately, is probably the biggest wave of immigration since the Norman conquest. My contention is that our country simply cannot cope with immigration on that scale-to coin a phrase, we simply cannot go on like this. It is about time that mainstream politicians started airing the views of their constituents, because for too long people have muttered under their breath that they are concerned about immigration. They have been frightened to speak out about it because they are frightened of being accused of being racist. My contention is that immigration is not a racist issue; it is a question of numbers. I personally could not care tuppence about the ethnicity of the immigrants concerned, the colour of their skin or the language that they speak. What I am concerned about is the very large numbers of new arrivals to our country. My contention is that the United Kingdom simply cannot cope with them.","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",331,"Stewart Jackson","Con",1567,FALSE,64,"I congratulate my hon. Friend on securing this important debate. Like me, will he pay tribute to the former Archbishop of Canterbury, Lord Carey, who has had the courage to make the point and elucidate clearly today that dealing with immigration in an honest, straightforward and reasonable way is not just a political but a moral imperative for the political parties in this country?","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",334,"Philip Hollobone","Con",1567,FALSE,161,"I am most grateful for that helpful contribution from my hon. Friend, who is a fastidious champion of his constituents' interests; they are also concerned about the level of immigration into this country. I hope that the Minister will be able to give us the official statistics during his remarks, but my understanding is that the United Kingdom's population is currently some 61 million. Net immigration is about 160,000 or 170,000 a year. Unless that is cut by 75 per cent., we will not be able to prevent the UK's population from rising to 70 million by 2029. That would be the biggest population our country has ever had. Indeed, we already have the biggest population that our country has ever experienced. We are the most crowded country in Europe, apart from Malta, and one of the most crowded countries in the world, yet a further 9 million people are scheduled to arrive on our shores within the next 20 years.","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",336,"Stewart Jackson","Con",1567,FALSE,140,"Is it not a sad indictment of this country's political system that the reason why we have not been able to have an honest and accurate debate on immigration is that the party in government for the past 13 years has deliberately and systematically smeared those who have raised immigration as an issue? Incidentally, that has had an impact on people who are not well off-for example, those who live in social housing in places such as Barking and Dagenham. There should have been a legitimate cross-party debate precisely to stop the rise of people such as those in the British National party who exploit people's fears. The Government have not done that. They have chosen to smear their opponents, principally the Conservative party and particularly my right hon. and learned Friend the Member for Folkestone and Hythe (Mr. Howard).","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",337,"Philip Hollobone","Con",1567,FALSE,257,"I am most grateful for that contribution. I will certainly take interventions from my hon. Friend the Member for Shipley (Philip Davies) and the hon. Member for Solihull (Lorely Burt), but first I want to address the point made by my hon. Friend the Member for Peterborough (Mr. Jackson). The cross-party group on balanced migration recognises that point entirely and has stated in a press release issued today:â€œWe are convinced that failure to take action would be seriously damaging to the future harmony of our society. Nearly a million votes by our fellow citizens for an extremist party amount to a danger sign which must not be ignored. For too long the major political parties have failed to address these issues and the intense, if largely private, concern that they generate throughout our country. If politicians want to rebuild the public's trust in the political system, they cannot continue to ignore this issue which matters so much to so many people. The time has come for action.â€In responding to my hon. Friend, most unusually for me, I also want to pray in aid the Prime Minister. In November, in a speech on immigration, the Prime Minister said:â€œI have never agreed with the lazy elitism that dismisses immigration as an issue, or portrays anyone who has concerns about immigration as a racist. Immigration is not an issue for fringe parties nor a taboo subject - it is a question to be dealt with at the heart of our politics, a question about what it means to be British.â€","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",338,"Philip Davies","Con",1567,FALSE,121,"I would certainly like to congratulate my hon. Friend on once again raising an issue that is hugely important to not just his and my constituents, but people right across the country. Returning to his theme of how we are an overcrowded nation already, would he like to comment on the fact that when the Government launched the ambitious house building target of 3 million by 2020-it seems that target will be missed anyway-they said by their own admission that 1 million new homes out of those 3 million will be needed for future immigration into this country? Does that alone not highlight how unsustainable the level of immigration into this country is and its effect on infrastructure and public services?","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",339,"Philip Hollobone","Con",1567,FALSE,137,"As usual, my hon. Friend is spot on. That is a real concern for my constituents in Kettering, because under the Government's house building plans, the number of dwellings in the borough of Kettering are due to increase by one third by 2021. I am not saying that one third of the new houses in Kettering will be occupied by immigrants, but such net immigration into our country inevitably means that a large number of the new houses built will be occupied by new arrivals. In some places that number will be very large and in others it will be very small. The latest figures from the excellent organisation, Migrationwatch UK, show that the Government's most recent household projections indicate that immigration will account for 39 per cent. of all new households in the next 20 years.","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",354,"Philip Hollobone","Con",1567,FALSE,58,"I will do so when I have finished answering the previous intervention. The answer is that 70 per cent. of that increase is due to immigration, so effective measures could be taken to reduce immigration before we reach the situation, highlighted by the hon. Member for Carshalton and Wallington (Tom Brake), in which the population passes 70 million.","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",360,"Philip Hollobone","Con",1567,FALSE,50,"The Minister is trying to get away with saying that once immigrants are here the increase in population is not due to net immigration, and that is playing with words in a way my constituents would not appreciate. I do not know why he is looking so pleased with himself.","UK-HouseOfCommons","GBR",2010
"2010-01-06","Immigration Control",361,"Phil Woolas","Lab",1516,FALSE,95,"That is because we have exposed the hon. Gentleman's policy. If he is saying that that is indirect net population-the result of previous immigration-there are two questions he must answer. First, what is he going to do about it? Is his policy to stop the previous immigrants to the country having children? Secondly, will he say that the net population increase is a function not just of immigration, present and past, but, as the hon. Member for Carshalton and Wallington (Tom Brake) said, of the birth and death rate? What will he do about it?","UK-HouseOfCommons","GBR",2010
